Input,Output
I want to write a novel and need help developing the plot.,Creative Writing
I have a set of photos and need to identify different landmarks in them.,Image Analysis
I need to generate some code snippets for a new web application.,Programming
I want to understand how different medications interact with each other.,Medical Knowledge
I have some financial data that I want to analyze for trends.,Advanced Reasoning
I need to convert speech recordings into text.,Audio Processing
I am studying for a physics exam and need help solving problems.,Science
I need to generate some marketing content for social media.,Text Generation
I want to analyze a dataset to find patterns using machine learning techniques.,Advanced Reasoning
I have a video file and need to extract the dialogue.,Video Analysis
I want to check some documents for legal compliance.,Legal Knowledge
I need help with writing a song.,Creative Writing
I am working on a project that involves detecting different sounds.,Audio Processing
I need to solve some calculus problems for my homework.,Mathematics
I want to learn about recent advancements in AI.,General Knowledge
I need to classify emails into different categories.,Basic Reasoning
I have some research papers that I need to summarize.,Document Analysis
I want to create a chatbot for customer support.,Programming
I need to understand the symptoms of various diseases.,Medical Knowledge
